노동자	Laborer, worker
동네	neighborhood
언제나	everytime, always
완전히	completely, perfectly
자동차	Car
전하다	To transmit, convey
존재하다	To exist
개월	Each and every month
맞다	to take as a courtesy, to receive a guest
별로	Especially, particularly
어린이	A youngster, a child
정하다	To set, determine
한마디	One word
유지하다	To preserve, maintain
이데올로기	Ideology
공부하다	To study
대중	The masses
늘어나다	Grow longer
닦다	Wipe clean, polish
만	As many as, full, complete
말씀	Speech
괜찮다	To be okay
눈물	A tear
각종	All sorts / varieties
빛	Light
피하다	avoid, keep away
거치다	Pass / go through
나아가다	Advance, go forward
야	(Word to get somebody's attention) Hey!! 2. impolite speech for 이다, to be
지식	Knowledge, information
여전히	As it used to be, as before; still, persistently, even still
주인	The head of a family, the owner
발견하다	To discover
선	A line, a route
인류	The human race
특징	A special feature, a distinguishing feature
드리다	humble form of 주다 (juda); to offer, to give, to present
선수	An athlete
형식	A form, formality, mold
마련하다	To plan, arrange
반	Half
발표하다	To announce
주제	Subject, theme, topic
걸치다	1. put a thing over / across 2. to range from A to B
겪다	Experience / undergo / suffer
관점	A point of view / a standpoint/outlook
귀	Ear
기본	A foundation
미터	Meter
사라지다	To disappear
어떠하다	To be how
감정	Feelings
기억	A memory
놈	A fellow
인기	Popularity
배	abdomen, belly
아파트	Apartment
가끔	Sometimes
구성	Organization / constitution, the framework of something
술	scoop; spoonful of
실제로	In reality
짧다	Short, brief
고맙다	To thank
관리	Management / administration
그곳	That place
달다	to ask to do: to demand
보다	relatively, more
비롯하다	begin, start
과연	Just as one thought
들리다	(passive) to be heard; (causative) to cause to hear
달리다	run, make do fast
바쁘다	Busy
이전	Former days/times
인정하다	To acknowledge, authorize
자	A person
중앙	The middle and the heart
나쁘다	To be bad
불구하다	Deformity, malformation
시키다	To make
게임	Game
국제	International
그룹	Group
인생	Life
전통	tradition, convention
기르다	Educate / train / cultivate
잔	A cup, wine glass
조사하다	To examine, investigate
커다랗다	To be very big/large
시인	A poet
언제	when, at what time
외	Except, save for
평가	Evaluation, appraisal
내려오다	Come down
위치	A position, a location
줄이다	reduce, decrease
가격	Price
달라지다	To change, vary
비다	To be empty, vacant
삼국	Three countries
